,Scientific.Discipline,Title,First.Name,Middle.Name,Last.Name,Suffix,Citation,Full.Name,,Wiki.page,Gender,Page.Year,page.creator (partial data)
271,Engineering,Prof.,Xiuling,,Li,,"For distinguished contributions to novel semiconductor epitaxy, fabrication, and electronic and photonic devices at the nanoscale.",Xiuling Li,,FALSE,f,,
272,Engineering,Prof.,Lance,,Manuel,,"For distinguished contributions improving the design practice for wind turbines, especially for complex inflow turbulence conditions and extreme climate events.",Lance Manuel,,TRUE,m,,
273,Astronomy,Dr.,Mustapha,,Ishak-Boushaki,,"For distinguished contributions to the field of theoretical cosmology, particularly for testing modifications to general relativity at cosmological scales, and for sustained excellence in teaching and mentoring of students.",Mustapha Ishak-Boushaki,,TRUE,m,,
274,Geology & Geography,Prof.,Robert,J.,Stern,,"For distinguished contributions to the fields of geology, petrology, geochemistry and geochronology, to increase our understanding of the evolution of continental crust and for his innovative education and outreach activity.",Robert Stern,,TRUE,m,2018,
275,Biological Sciences,Dr.,Theresa,M.,Koehler,,"For distinguished contributions to the field of bacterial genetics and physiology, particularly for gene regulation and host-pathogen signaling.",Theresa Koehler,,FALSE,f,,
276,Medical Sciences,Prof.,Vasanthi,,Jayaraman,,For fundamental contributions to structure-function relationships in transmembrane proteins and elegant insights into the dynamics of synaptically activated ion channels.,Vasanthi Jayaraman,,TRUE,f,2021,
277,Biological Sciences,Dr.,James,Patrick,Chambers,,"For distinguished development of threat agent detection, innovative contributions to the understanding of Francisella tularensis, and the promotion of scholarship and scientific discovery in teaching and public outreach.",James Chambers,,TRUE,m,,
278,Chemistry  ,Dr.,Aimin,,Liu,,"For distinguished contributions to the fields of structural and mechanistic enzymology, particularly the chemistry of tryptophan metabolism, protein-derived cofactor biosynthesis, and charge resonance stabilization in the generation of protein radicals.",Aimin Liu,,FALSE,m,,
279,Astronomy,Dr.,Angela,K.,Speck,,"For distinguished contributions to interdisciplinary understanding of the effects of stardust across our cosmos, as well as for extensive service to the astronomy community and in exceptional public outreach.",Angela Speck,,TRUE,f,2019,(Jesswade)
280,Medical Sciences,Dr.,Juan,,Fueyo,,"For development of novel biological therapies for the treatment of malignant gliomas and other solid tumors, specifically in developing new immune therapies and novel oncolytic adenoviruses from bench to bedside.",Juan Fueyo,,TRUE,m,,
281,Medical Sciences,Dr.,Victor,G.,Prieto,,"For seminal contributions to molecular biology of melanocytic neoplasms, discovery of biomarkers for prognostication and evaluation of therapy response in patients with cutaneous neoplasms and standardization of pathology reporting.",Victor Prieto,,TRUE,m,,
282,Biological Sciences,Dr.,Linda,J.,Kenney,,"For outstanding contributions to microbiology and biophysics, particularly to signal transduction in bacteria that control gene expression at single cell and nanometer levels.",Linda Kenney,,FALSE,f,,
283,Medical Sciences,Dr.,Diego,H.,Castrillon,,For distinguished contributions to to the study of gynecologic malignancies and for developing new approaches and model systems for endometrial cancer.,Diego Castrillon,,TRUE,m,,
284,Biological Sciences,Prof.,Kim,,Orth,,"For distinguished contributions to how pathogenic bacteria invade and manipulate host cells, and for uncovering virulence strategies that pathogens,such as Yersinia, which causes plague, use to manipulate host cells",Kim Orth,,TRUE,f,2019,
285,Biological Sciences,Prof.,Vanessa,,Sperandio,,For distinguished contributions to the field of microbial pathogenesis and discoveries pertaining to cross-kingdom signaling.,Vanessa Sperandio,,FALSE,f,,
286,Anthropology ,Prof.,Mark,F.,Teaford,,"For distinguished contributions in the development and use of microwear analyses in comparative primate anatomy, primate functional morphology, and paleoanthropology, as well as for extraordinary dedication to teaching.",Mark Teaford,,TRUE,m,,
287,"Information, Computing & Communication",Dr.,Kathleen,,Fisher,,For interdisciplinary contributions to the theory and practice of programming languages and for leadership in increasing diversity in the computing discipline.,Kathleen Fisher,,TRUE,f,2015,David Eppstein
288,Education,Dr.,David,,Hammer,,"For distinguished contributions to physics education through research on STEM learning and teaching, and for advancing responsive teaching through online video cases of students doing science and scientific reasoning workshops.",David Hammer,,TRUE,m,,
289,Engineering,Dr.,Karen,Ann,Panetta,,"For distinguished  contributions to the field of computer vision and simulation algorithms, and for leadership in developing programs to support and empower girls and women in STEM.",Karen Panetta,,TRUE,f,2021,(Jesswade)
290,Chemistry  ,Prof.,Charles,,Sykes,,For distinguished contributions to the field of heterogeneous single atom alloy (SAA) catalysts and investigations of chirality on surfaces.,Charles Sykes,,TRUE,m,,
291,Mathematics,Dr.,Fariba,,Fahroo,,"For fundamental and impactful contributions to computational optimal control; outstanding and sustained scientific leadership in pioneering visionary initiatives while managing AFOSR and DARPA programs in computational mathematics,dynamics and controls.",Fariba Fahroo,,TRUE,f,2012,
292,Medical Sciences,Dr.,Stephen,Craig,Hadler,,"For distinguished contributions to the control of infectious diseases, especially to implement effective vaccine programs in regions where viral outbreaks occur regularly and are often devastating.",Stephen Hadler,,TRUE,m,,
293,"Agriculture, Food & Renewable Resources",Dr.,Prasanna,H.,Gowda,,"For distinguished contribution to the field of water resource management, remote sensing, agricultural systems modeling, cropping systems management, and greenhouse gas emissions and monitoring.",Prasanna Gowda,,FALSE,m,,
294,Physics ,Dr.,John,,Kogut,,For his pioneering contributions to lattice gauge theory approach to quantum chromodynamics which has enlightened the origins of chiral symmetry breaking leading to origin of masses and quark confinement.,John Kogut,,TRUE,m,2016,
295,Engineering,Dr.,Madhava,,Syamlal,,For advancements in the capability to model and numerically simulate fluid-particle flows encountered in nature and in engineered systems,Madhava Syamlal,,FALSE,m,,
296,"Information, Computing & Communication",Dr.,Simson,L.,Garfinkel,,"For distinguished contributions to the theory, practice, and public dissemination of cyber security and privacy technologies and policies.",Simson Garfinkel,,TRUE,m,2007,
297,Biological Sciences,Dr.,Nathan,L.,Stephenson,,"For distinguished and sustained insights into the relationships between forest dynamics and climate, particularly the role of water balance, and applications to forest climate adaptation.",Nathan Stephenson,,FALSE,m,,
298,Engineering,Dr.,David,Alan,Shifler,,"For outstanding contributions exploring, developing, analyzing, and supporting interdisciplinary fundamental and applied research in materials and their performance in increasingly complex environments ranging from nonaqueous, aqueous, soil and high-temperature conditions.",David Shifler,,FALSE,m,,
299,Medical Sciences,Dr.,Joseph,Anthony,Lorenzo,,For distinguished contributions to the field of medical science particularly as a leader and originator of the field of osteoimmunology: interactions of the immune and skeletal systems.,Joseph Lorenzo,,FALSE,m,,
300,Biological Sciences,Dr.,Peter,C.,Frumhoff,,"For distinguished contributions to the field of global change, particularly fostering public and governmental understanding of the inter-relations among biological diversity and climate.",Peter Frumhoff,,FALSE,m,,
301,Chemistry  ,Prof.,Luis,Alberto,Montero-Cabrera,,For contributions in computational chemistry and commitments to science and the profession.,Luis Montero-Cabrera,,FALSE,m,,
302,Biological Sciences,Dr.,Gerardo,,Ceballos,,"For distinguished contributions to the fields of biodiversity and conservation biology, particularly with respect to anthropogenic patterns and threats to mammals both globally and in the Neotropics.",Gerardo Ceballos,,FALSE,m,,
303,Biological Sciences,Prof.,Spiros,N.,Agathos,,"For distinguished contributions to environmental and synthetic biotechnology and bioengineering, with a special focus on biocatalyst development, bioprocess optimization for metabolite production from bacteria, fungi and algae",Spiros Agathos,,FALSE,m,,
304,Neuroscience,Dr.,Sharlene,D.,Newman,,"For pioneering work in developing new neuroimaging techniques and their innovative use to study language processing in the human brain,and executive function, mathematical and spatial processing, substance addiction, and psychopathology.",Sharlene Newman,,TRUE,f,2020,
305,Biological Sciences,Prof.,Olav,,Rueppell,,"For advances in using the honey bee as a model for social behavior, senescence, genetic recombination, and disease, as well as for teaching and mentoring",Olav Rueppell,,FALSE,m,,
306,Biological Sciences,Dr.,A.,Elizabeth (Betsy),Arnold,,"For distinguished contributions to the field of ecology and evolution, particularly for plant and lichen fungal symbioses in wild and agro-ecosystems.",A. Arnold,,FALSE,f,,
307,Biological Sciences,Dr.,Carol,C.,Gregorio,,"For internationally-recognized contributions toward understanding striated muscle structure, function and disease, using advanced imaging and cell biological approaches.",Carol Gregorio,,FALSE,f,,
308,Linguistics & Language Science,Dr.,Cecile,,McKee,,"For distinguished contributions to developmental psycholinguistics, particularly experimental design for demonstrating children’s knowledge of syntax, and for distinguished service in promoting public awareness of the significance of linguistic study.",Cecile McKee,,FALSE,f,,
309,Chemistry  ,Prof.,Kevin,D.,Raney,,For important contributions to the field of molecular motor proteins on nucleic acids and the function of G-quadruplex nucleic acids during response to cellular stress.,Kevin Raney,,FALSE,m,,
310,Biological Sciences,Prof.,Alexander,,Schier,,"For distinguished contributions to the field of developmental biology, in particular for establishing and applying genetic and genomic methods to define the logic governing cell fate diversification during embryogenesis.",Alexander Schier,,FALSE,m,,
311,Biological Sciences,Dr.,Rodrigo,P. P.,Almeida,,"For distinguished contributions to the field of ecology, particularly for experimental and modeling work on the ecology, evolution and management of insect-transmitted plant pathogens",Rodrigo Almeida,,FALSE,m,,
312,Engineering,Dr.,Ruzena,,Bajcsy,,"For pioneering multidisciplinary contributions to machine perception, robotics, and artificial intelligence, particularly active perception, revolutionizing robotic sensing and vision, and elastic matching, advancing the field of medical imaging.",Ruzena Bajcsy,,TRUE,f,2009,
313,Chemistry  ,Prof.,Kristie,A.,Boering,,"For pioneering work in applying new isotope effects, supported by quantum calculations, to study upper atmospheric chemistry, stratosphere-troposphere mixing, and global biogeochemical cycles.",Kristie Boering,,TRUE,f,2019,(Jesswade)
314,Biological Sciences,Dr.,Michael,,Boots,,"For distinguished contributions to the field of infectious disease biology, particularly theoretical work on the evolution of virulence and consequences for intervention and human health.",Michael Boots,,FALSE,m,,
315,Atmospheric & Hydrospheric Sciences,Prof.,Paolo,,D’Odorico,,For major scientific advances in ecohydrology and food-water-energy systems.,Paolo D’Odorico,,FALSE,m,,
316,Psychology,Prof.,Ann,M.,Kring,,"For distinguished contributions to the field of psychology and affective science, particularly for improving understanding of anhedonia or distortions of affect in schizophrenia and bipolar disorder.",Ann Kring,,FALSE,f,,
317,General Interest in Science & Engineering,Ms.,Tiffany,,Lohwater,,"For her leadership in science communications and public engagement, including establishing the AAAS Center for Public Engagement with Science and Technology and its highly successful Communicating Science workshop program",Tiffany Lohwater,,FALSE,f,,
318,Physics ,Prof.,Hitoshi,,Murayama,,"For his many contributions to our understanding of physics beyond the Standard Model, and his role establishing the Kavli Institute for the Physics and Mathematics of the Universe.",Hitoshi Murayama,,TRUE,m,2017,
319,Biological Sciences,Prof.,Eva,,Nogales,,"For elucidating the molecular function of macromolecular assemblies by direct visualization of their architecture, functional states, and regulatory interactions.",Eva Nogales,,TRUE,f,2006,
320,"Agriculture, Food & Renewable Resources",Prof.,Helene,R.,Dillard,,"For exemplary contributions to cross-disciplinary academic administration and global public outreach; for research in plant biology, ecology, and management of fungal diseases; for agricultural production; and for mentoring and teaching.",Helene Dillard,,FALSE,f,,
321,Chemistry  ,Prof.,Davide,,Donadio,,"For distinguished contributions to the field of computational and theoretical chemistry, particularly for theoretical modeling of materials.",Davide Donadio,,FALSE,m,,
322,Psychology,Dr.,Fernanda,,Ferreira,,"For distinguished contributions to the psychology of language, most notably articulating the limitations on human language processes and how humans adapt to those limitations.",Fernanda Ferreira,,TRUE,f,2021,
323,Physics ,Prof.,John,F.,Gunion,,"For contributions spanning more than 40 years in research and education, including co-leading the particle physics community toward discovery and understanding of the most fundamental particle interactions in our universe.",John Gunion,,FALSE,m,,
324,"Agriculture, Food & Renewable Resources",Dr.,Linda,J.,Harris,,For distinguished contributions to the field of food safety microbiology especially related to control of Salmonella and other pathogens in low-moisture foods and fresh produce.,Linda Harris,,FALSE,f,,
325,Medical Sciences,Prof.,Johannes,Wilhelm,Hell,,"For exceptional advancements of the molecular and functional analysis of postsynaptic mechanisms that govern the strength of glutamatergic synapses, and outstanding contributions to the training and mentoring of junior scientists.",Johannes Hell,,FALSE,m,,
326,Biological Sciences,Dr.,John,J.,Stachowicz,,"For distinguished contributions to the fields of ecology and evolution, particularly for understanding marine ecosystem functioning including the roles of biodiversity, mutualism and facilitation, and community assembly.",John Stachowicz,,FALSE,m,,
327,Neuroscience,Prof.,Karen,,Zito,,For contributions to understanding excitatory synapse formation and the dynamics of postsynaptic density proteins.,Karen Zito,,FALSE,f,,
328,Medical Sciences,Prof.,Christine,Kreuder,Johnson,,"For novel research in global health, data science, epidemiology, and zoonotic infectious diseases, for illumination of environmental change impacts, for advanced outbreak preparedness strategies, and for synergies for environmental stewardship",Christine Johnson,,FALSE,f,,
329,Biological Sciences,Dr.,Steven,D.,Allison,,"For distinguished contributions to the field of ecology and evolution, particularly the analysis of microbial feedbacks to environmental change, and for training and local community outreach on environmental issues.",Steven Allison,,FALSE,m,,
330,"Information, Computing & Communication",Dr.,Rina,,Dechter,,"For contributions to programming language design, theory, and practice, and for service to the computing community.",Rina Dechter,,TRUE,f,2015,
331,"Information, Computing & Communication",Prof.,Paul,,Dourish,,"For distinguished contributions to the field of human-computer interaction and computer-supported cooperative work, particularly the role of the social in the technical",Paul Dourish,,TRUE,m,2006,
332,Atmospheric & Hydrospheric Sciences,Dr.,Alex,,Guenther,,For distinguished contributions to the field of biogenic emissions of volatile organic compounds to the atmosphere and their effects on atmospheric chemistry.,Alex Guenther,,FALSE,m,,
333,Statistics,Prof.,Annie,,Qu,,"For outstanding contributions to longitudinal data, high-dimensional statistics, and machine learning, and for exceptional service to the profession.",Annie Qu,,TRUE,f,2017,David Eppstein
334,"Information, Computing & Communication ",Prof.,Padhraic,,Smyth,,"For distinguished contributions to the field of machine learning, particularly the development of statistical foundations and methodologies.",Padhraic Smyth,,TRUE,m,2016,
335,Atmospheric & Hydrospheric Sciences,Prof.,Isabella,,Velicogna,,For pioneering the use of time-variable gravity data from NASA’s Gravity Recovery and Climate Experiment (GRACE) mission to reveal the mass loss of the Antarctic and Greenland ice sheets.,Isabella Velicogna,,TRUE,f,2021,
336,Anthropology ,Prof.,Nicholas,G.,Blurton-Jones,,"For distinguished contributions to evolutionary anthropology, particularly for research and theoretical advances in human behavioral ecology, forager societies, demography, reproductive strategies, aging, and complex aspects of social life.",Nicholas Blurton-Jones,,FALSE,m,,
337,Chemistry  ,Prof.,Joseph,A.,Loo,,"For distinguished contributions to the field of biochemistry and biological mass spectrometry, particularly for innovations in structural proteomics methods and applications.",Joseph Loo,,FALSE,m,,
338,"Information, Computing & Communication ",Prof.,Rafail,,Ostrovsky,,For fundamental contributions to cybersecurity and cryptography.,Rafail Ostrovsky,,TRUE,m,2007,
339,Education,Dr.,William,A.,Sandoval,,For distinguished contributions to the field of science education as a pioneer of design-based research (DBR) and for advancing the theory of epistemological advancement in STEM education.,William Sandoval,,FALSE,m,,
340,Engineering,Dr.,Xiaoping,,Hu,,"For seminal contributions to the development of magnetic resonance imaging, particularly in the imaging and understanding of brain function and connectivity.",Xiaoping Hu,,FALSE,m,,
341,Chemistry  ,Dr.,De-en,,Jiang,,"For distinguished contributions to the field of computational chemistry in energy and the environment, particularly in modeling and simulating materials chemistry and nanosystems for separations, catalysis, and energy storage.",De-en Jiang,,FALSE,m,,
342,Physics ,Prof.,Jing,,Shi,,For his outstanding contributions to the synthesis and study of magnetic and non-magnetic hybrid material systems for spintronics and to the understanding of novel spin transport properties in these systems.,Jing Shi,,FALSE,m,,
343,Chemistry  ,Prof.,Kathryn,Elizabeth,Uhrich,,For distinguished contributions to the field of biodegradable polymers that serve a critical need in therapeutics/drug delivery and service to the chemistry community.,Kathryn Uhrich,,TRUE,f,2008,
344,Medical Sciences,Dr.,Gary,S.,Firestein,,"For distinguished services to rheumatology, in particular insight into the pathogenesis of rheumatoid arthritis and development of anti-cytokine therapy and signal transduction inhibitors that are now approved for clinical use.",Gary Firestein,,TRUE,m,2018,
345,Engineering,Prof.,Olivia,A.,Graeve,,"For distinguished contributions to the field of material science, particularly materials for extreme environments; and for leadership in engineering education for underrepresented students.",Olivia Graeve,,TRUE,f,2020,
346,Engineering,Prof.,Ying,Shirley,Meng,,For innovative and original discovery of interfacial sciences in energy storage materials that has led to improved battery technologies.,Ying Meng,,FALSE,f,,
347,Biological Sciences,Prof.,Victor,,Nizet,,"For distinguished contributions to understanding fundamental mechanisms of bacterial pathogenesis and the innate immune system, with a special focus on human streptococcal and staphylococcal infections and emerging antibiotic-resistant pathogens.",Victor Nizet,,TRUE,m,2009,
348,History & Philosophy of Science,Dr.,Michael,,Kalichman,,For pioneering and sustained leadership in research ethics and in the professional training of scientists in responsible conduct of research.,Michael Kalichman,,FALSE,m,,
349,Biological Sciences,Prof.,Brian,,Palenik,,"For distinguished contributions to the field of microbial oceanography, particularly using genomic approaches to reveal molecular adaptations of photosynthetic picoplankton to diverse marine environments.",Brian Palenik,,FALSE,m,,
350,Medical Sciences,Dr.,Dean,,Sheppard,,"For distinguished contributions to the fields of lung cell and molecular biology, lung translational research and identification of potential targets and drugs for the treatment of lung fibrosis.",Dean Sheppard,,FALSE,m,,
351,Neuroscience,Dr.,Katerina,,Akassoglou,,For innovative work on the neurovascular regulation of inflammation and tissue repair and the identification of the molecular interface that blood proteins utilize to interact with nervous system cells.,Katerina Akassoglou,,TRUE,f,2020,microglia145
352,Physics ,Prof.,Leon,,Balents,,For distinguished contributions to the theoretical understanding of emergent phenomena in strongly interacting quantum systems.,Leon Balents,,FALSE,m,,
353,Engineering,Prof.,John,E.,Bowers,,"For pioneering research in silicon photonics, including hybrid silicon lasers, photonic integrated circuits, and ultra low-loss waveguides.",John Bowers,,TRUE,m,2019,
354,Physics ,Prof.,Matthew,P. A.,Fisher,,"For seminal contributions to condensed matter physics, particularly theories of many-body quantum systems including fractional quantum Hall effect, superconductivity, topologically-ordered phases, and one-dimensional quantum wires.",Matthew Fisher,,TRUE,m,2016,
355,Anthropology ,Prof.,Michael,,Gurven,,"For distinguished contributions to the field of anthropology, particularly for theoretical and empirical work on small societies providing new perspectives on health in complex societies.",Michael Gurven,,FALSE,m,,
356,Psychology,Dr.,Mary,,Hegarty,,"For major contributions to the understanding of spatial cognition and spatial intelligence, including their application in and consequences for education in STEM fields.",Mary Hegarty,,FALSE,f,,
357,Biological Sciences,Prof.,Joel,Harry,Rothman,,For distinguished contributions to genetics and the field of cell and developmental biology.,Joel Rothman,,FALSE,m,,
358,Biological Sciences,Dr.,Suzanne,H.,Alonzo,,"For distinguished contributions to the field of ecology and evolution, particularly for field and modeling approaches to understanding the evolution of reproductive behavior.",Suzanne Alonzo,,FALSE,f,,
359,Geology & Geography,Prof.,James,,Zachos,,"For outstanding contributions in geology, paleontology, and climate science of the Cenozoic and Cretaceous oceans.",James Zachos,,TRUE,m,2018,
360,Engineering,Prof.,Judith,L.,MacManus-Driscoll,,"For distinguished contributions to the field of functional oxide thin films, particularly for applying novel nanoengineering methods to engineer improved performance.",Judith MacManus-Driscoll,,TRUE,f,2018,
361,Biological Sciences,Prof.,Maria-Luisa,,Alegre,,For distinguished contributions at the interface of basic immunology and transplantation science and therapeutic modalities for transplantation.,Maria-Luisa Alegre,,FALSE,f,,
362,Physics ,Prof.,Edward,Charles,Blucher,,For distinguished contributions to numerous experiments in the field of particle physics addressing fundamental topics and for scientific leadership to the particle physics community.,Edward Blucher,,FALSE,m,,
363,Biological Sciences,Prof.,Michael,I.,Coates,,"For distinguished contribution to the field of vertebrate paleontology, particularly for original studies on phylogenies and morphological evolution of jawed vertebrates, and on evolution of tetrapods from lobe-finned ancestry.",Michael Coates,,FALSE,m,,
364,"Information, Computing & Communication",Dr.,Michael,,Franklin,,For outstanding research contributions with a focus on the creation and direction of AMPLab.,Michael Franklin,,TRUE,m,2008,
365,Biological Sciences,Prof.,Yoav,,Gilad,,For pioneering contributions in comparative transcriptomics studies and seminal contributions to our understanding of regulatory mechanisms and their contributions to human common disease.,Yoav Gilad,,FALSE,m,,
366,"Social, Economic & Political Sciences",Prof.,Jeanne,C.,Marsh,,"For distinguished contributions to social work research in the areas of substance abuse service delivery, services for women and childre and social program and policy evaluation.",Jeanne Marsh,,FALSE,f,,
367,Biological Sciences,Prof.,Marcelo,A.,Nóbrega,,For pioneering contributions to characterizing the function of regulatory genetic variation contributing to human disease.,Marcelo Nóbrega,,FALSE,m,,
368,Biological Sciences,Prof.,Phoebe,A.,Rice,,For pioneering research in structural biology investigations of mechanisms of DNA bending and structural biology in microorganisms.,Phoebe Rice,,FALSE,f,,
369,"Social, Economic & Political Sciences",Prof.,Amanda,,Woodward,,"For pathbreaking contributions to understanding the development from infancy of the human mind, and for service to the growth of the science of social cognition.",Amanda Woodward,,TRUE,f,2009,
370,Education,Prof.,Noah,David,Finkelstein,,For distinguished contributions to establishing and advancing the fields of physics education research and institutional transformation in STEM education with an inclusive mindset.,Noah Finkelstein,,TRUE,m,2015,
371,Engineering,Prof.,Karl,G.,Linden,,"For distinguished contributions to the field of water treatment engineering, particularly using ultraviolet light for pathogen disinfection and abatement of organic contaminants in water reuse.",Karl Linden,,FALSE,m,,
372,Atmospheric & Hydrospheric Sciences,Prof.,Owen,Brian,Toon,,"For fundamental contributions toward understanding the role of clouds and aerosols in the climates of Earth and other planets, and for warning the world of the dangers of nuclear weapons.",Owen Toon,,TRUE,m,2009,
373,Statistics,Prof.,Nalini,,Ravishanker,,"For fundamental contributions to the field of time series and applications, for distinguished service to the profession, for enhancing diversity in STEM, and for promoting best statistical practices in industry.",Nalini Ravishanker,,TRUE,f,2017,David Eppstein
374,Biological Sciences,Prof.,Peter,,Turchin,,For applying rigorous mathematical theories and novel ideas to understanding where humans came from and how their societies are organized.,Peter Turchin,,TRUE,m,2006,
375,Dentistry & Oral Health Sciences,Dr.,Effie,,Ioannidou,,"For distinguished contributions to the field of periodontology, particularly for work on the impact of periodontal interventions to systemic health and chronic kidney disease.",Effie Ioannidou,,FALSE,f,,
376,Biological Sciences,Dr.,Pramod,,Srivastava,,"For distinguished contributions to the fields of cancer and neuroimmunology, particularly in delineating the heat shock proteins and temperature receptors in innate immunity, and neopeptides for personalized cancer immunotherapy.",Pramod Srivastava,,FALSE,m,,
377,Atmospheric & Hydrospheric Sciences,Prof.,Wei-Jun,,Cai,,For distinguished contributions for understanding the global carbon cycle and CO2 fluxes in the coastal ocean.,Wei-Jun Cai,,FALSE,m,,
378,Biological Sciences,Dr.,David,Louis,Kirchman,,"For outstanding contributions to marine bioscience, particularly microbial ecology and microbial oceanography.",David Kirchman,,FALSE,m,,
379,"Agriculture, Food & Renewable Resources",Prof.,J.,Scott,Angle,,"For distinguished contributions to the agricultural sciences, particularly soil science and microbiology, for fertilization strategies to alleviate world hunger, and for outstanding administrative excellence at three land-grant Universities.",J. Angle,,TRUE,m,2020,
380,"Agriculture, Food & Renewable Resources",Prof.,Sixue,,Chen,,"For distinguished contributions to the field of plant biology, particularly for our understanding of molecular networks that underlie responses to biotic and abiotic stresses.",Sixue Chen,,FALSE,m,,
381,"Agriculture, Food & Renewable Resources",Prof.,Matias,,Kirst,,"For distinguished contributions in the area of molecular breeding, genomics and informatics.",Matias Kirst,,FALSE,m,,
382,"Agriculture, Food & Renewable Resources",Dr.,Yuncong,,Li,,"For distinguished contributions to the field of soil and water sciences, particularly developing management practices for sustaining crop production and protecting soil and water quality.",Yuncong Li,,FALSE,m,,
383,Engineering,Prof.,Jose,C.,Principe,,"For distinguished contributions to the field of statistical signal processing, specifically by incorporating information theory and kernel functions applied to computational neuroscience.",Jose Principe,,TRUE,m,2017,
384,Biological Sciences,Dr.,Tony,,Romeo,,"For distinguished contributions to the field of bacterial physiology and genetics, particularly the investigation of global gene regulation by small RNAs, exemplified by his work with the Csr (Rsm) system.",Tony Romeo,,FALSE,m,,
385,Biological Sciences,Dr.,Kathryn,,Sieving,,"For distinguished contributions to the fields of behavioral, community and landscape ecology, particularly using conceptual principles for wildlife conservation.",Kathryn Sieving,,FALSE,f,,
386,Biological Sciences,Prof.,James,E.,Byers,II,"For distinguished contributions to the field of ecology, particularly in invasion biology, parasite ecology, ecosystem engineers, and range boundaries in marine environments, as well as excellence in teaching.",James Byers,,FALSE,m,,
387,Biological Sciences,Prof.,Jessica ,Carol,Kissinger,,"For distinguished contributions to the field of the evolution of infectious diseases, particularly for bioinformatics approaches.",Jessica  Kissinger,,TRUE,f,2019,
388,Biological Sciences,Prof.,Patricia,L.,Yager,,For outstanding work on climate-driven processes and their impact on marine ecosystems.,Patricia Yager,,FALSE,f,,
389,Astronomy,Prof.,Alan,,Tokunaga,,"For leadership under which the NASA/IRTF thrived, for commitment to Hawaiian community outreach, and for scientific and technical contributions in infrared studies of solar system and young stellar objects.",Alan Tokunaga,,FALSE,m,,
390,Biological Sciences,Prof.,Eva,,Top,,For increasing our understanding of the ecology and evolution of multiple drug resistant plasmids in bacteria.,Eva Top,,FALSE,f,,
391,Chemistry  ,Prof.,Martin,D.,Burke,,"For revolutionary advances in organic synthesis methodology, enabling automated synthesis of complex molecules, and development of molecular prosthetics - small molecules that restore protein function absent in certain human diseases.",Martin Burke,,TRUE,m,2014,
392,"Agriculture, Food & Renewable Resources",Prof.,Brian,,Diers,,For distinguished contributions to soybean breeding and genetics.,Brian Diers,,FALSE,m,,
393,Physics ,Prof.,Aida,X.,El-Khadra,,"For her renowned research on the application of lattice gauge theory to the numerical study of quantum chromodynamics, the fundamental description of the strong interaction.",Aida El-Khadra,,TRUE,f,2021,(Jesswade)
394,Physics ,Prof.,Eduardo,,Fradkin,,"For distinguished contributions to theoretical physics, including the elucidation deep relationships between concepts in condensed matter physics and in elementary particle physics.",Eduardo Fradkin,,TRUE,m,2017,
395,Biological Sciences,Dr.,Brian,C.,Freeman,,"For distinguished contributions to the field of cell and molecular biology, particularly in uncovering new roles for molecular chaperones in chromatin organization.",Brian Freeman,,FALSE,m,,
396,Biological Sciences,Prof.,Mark,E.,Hauber,,"For distinguished contributions to the field of behavioral neuroscience, ornithology and evolutionary biology, particularly using experimental approaches to study the evolution of recognitions systems",Mark Hauber,,TRUE,m,2021,(Jesswade)
397,Biological Sciences,Dr.,Katy,D.,Heath,,For distinguished contributions in understanding the ecological and evolutionary drivers of mutualisms and for improving the climate for the next generation of scientists.,Katy Heath,,FALSE,f,,
398,Engineering,Prof.,Joseph,,Irudayaraj,,For distinguished contributions to quantitative sensing and plasmonics in biomedical systems.,Joseph Irudayaraj,,TRUE,m,2018,
399,Anthropology ,Dr.,Lyle,W.,Konigsberg,,"For distinguished contributions to the field of biological anthropology, notably cutting-edge quantitative analyses of human skeletal variation, including work of forensic significance.",Lyle Konigsberg,,FALSE,m,,
400,Anthropology ,Prof.,Ripan,Singh,Malhi,,"For distinguished contributions to the field of anthropology, particularly for using genetic analyses and community-based methods to understand human population history in the Americas.",Ripan Malhi,,FALSE,m,,
401,"Information, Computing & Communication ",Prof.,David,A.,Padua,,"For influential and lasting contributions to parallel compilers, languages, and tools, as well as distinguished and continuing influence through teaching and industry leadership.",David Padua,,FALSE,m,,
402,Atmospheric & Hydrospheric Sciences,Prof.,Murugesu,,Sivapalan,,For breakthrough theoretical contributions in catchment hydrology that transformed the scientific foundations of approaches to predictions of river flow in space and time needed for sustainable water resources management.,Murugesu Sivapalan,,TRUE,m,2015,
403,Geology & Geography,Prof.,Shaowen,,Wang,,For pioneering work on the development of CyberGIS - an innovative new interdisciplinary field of science fusing geographic information science and cyberinfrastructure,Shaowen Wang,,FALSE,m,,
404,"Information, Computing & Communication ",Prof.,Tandy,,Warnow,,"For contributions to mathematical theory, algorithms, and software for large-scale molecular phylogenetics and historical linguistics.",Tandy Warnow,,TRUE,f,2012,David Eppstein
405,Physics ,Prof.,Cecilia,E.,Gerber,,"For development of instrumentation to identify long-lived particles, leadership in the discovery of single top quark production and production of top quark pairs, and broadening participation of minorities in science.",Cecilia Gerber,,FALSE,f,,
406,Medical Sciences,Dr.,Constance,,Jeffery,,For pioneering contributions to the understanding of multifunctional proteins and outstanding contributions to the training and mentoring of junior scientists.,Constance Jeffery,,FALSE,f,,
